id,x,y,type
1,1,1,1
2,3,1,1
3,5,1,1
4,7,1,1
5,9,1,1
6,11,1,1
7,13,1,1
8,15,1,1
9,17,1,1
10,19,1,1
11,21,1,1
12,23,1,1
13,25,1,1
14,27,1,1
15,29,1,1
16,31,1,1
17,33,1,1
18,35,1,1
19,37,1,1
20,11,2,1
21,37,2,1
22,1,3,1
23,3,3,1
24,5,3,1
25,7,3,1
26,9,3,1
27,11,3,1
28,13,3,1
29,15,3,1
30,17,3,1
31,19,3,1
32,21,3,1
33,23,3,1
34,25,3,1
35,27,3,1
36,29,3,1
37,31,3,1
38,33,3,1
39,35,3,1
40,37,3,1
41,37,4,1
42,37,5,1
43,37,6,1
44,37,7,1
45,37,8,1
46,33,4,1
47,33,5,1
48,33,6,1
49,33,7,1
50,33,8,1
51,33,9,1
52,35,9,1
53,37,9,1
54,39,9,1
55,41,9,1
56,43,9,1
57,45,9,3
58,33,10,1
59,37,10,1
60,33,11,1
61,35,11,1
62,37,11,1
63,39,11,1
64,41,11,1
65,43,11,1
66,45,11,3
67,33,12,1
68,37,12,1
69,1,13,1
70,3,13,1
71,5,13,1
72,7,13,1
73,9,13,1
74,11,13,1
75,13,13,1
76,15,13,1
77,17,13,1
78,19,13,1
79,21,13,1
80,23,13,1
81,25,13,1
82,27,13,1
83,29,13,1
84,31,13,1
85,33,13,1
86,37,13,1
87,1,14,1
88,15,14,1
89,21,14,1
90,33,14,1
91,37,14,1
92,1,15,1
93,3,15,1
94,5,15,1
95,7,15,1
96,9,15,1
97,11,15,1
98,13,15,1
99,15,15,1
100,17,15,1
101,19,15,1
102,21,15,1
103,23,15,1
104,25,15,1
105,27,15,1
106,29,15,1
107,31,15,1
108,33,15,1
109,35,15,1
110,37,15,1
111,39,15,1
112,41,15,1
113,33,16,1
114,33,17,1
115,33,18,1
116,33,19,1
117,33,20,1
118,33,21,1
119,33,22,1
120,33,23,1
121,33,24,1
122,15,22,1
123,15,23,1
124,15,24,1
125,15,25,1
126,17,25,1
127,19,25,1
128,19,24,1
129,19,23,1
130,19,22,1
131,21,25,1
132,23,25,1
133,23,24,1
134,23,23,1
135,23,22,3
136,25,25,1
137,27,25,1
138,27,24,1
139,27,23,1
140,27,22,3
141,29,25,1
142,31,25,1
143,33,25,1
144,35,25,1
145,37,25,1
146,39,25,1
147,39,24,1
148,39,23,1
149,35,22,1
150,37,22,1
151,39,22,1
152,41,22,1
153,43,22,1
154,45,22,1
155,47,22,1
156,49,22,1
157,51,22,1
158,53,22,1
159,55,22,1
160,57,22,1
161,59,22,1
162,61,22,1
163,63,22,1
164,65,22,1
165,55,23,1
166,55,24,1
167,55,25,1
168,59,23,1
169,59,24,1
170,39,21,1
171,51,21,1
172,55,21,1
173,59,21,1
174,35,20,1
175,37,20,1
176,39,20,1
177,41,20,1
178,43,20,1
179,45,20,1
180,47,20,1
181,49,20,1
182,51,20,1
183,53,20,1
184,55,20,1
185,57,20,1
186,59,20,1
187,61,20,1
188,63,20,1
189,65,20,1
190,51,19,1
191,51,18,1
192,55,19,1
193,55,18,1
194,55,17,1
195,65,21,1
196,67,21,1
197,69,21,1
198,71,21,1
199,73,21,1
200,75,21,1
201,77,21,1
202,79,21,1
203,81,21,1
204,83,21,1
205,85,21,1
206,87,21,1
207,89,21,1
208,91,21,1
209,93,21,1
210,95,21,1
211,97,21,1
212,71,22,1
213,71,23,1
214,71,24,1
215,71,25,1
216,71,26,1
217,75,22,1
218,75,23,1
219,75,24,1
220,75,25,1
221,75,26,1
222,79,24,1
223,79,25,1
224,79,26,1
225,81,24,1
226,81,25,1
227,81,26,1
228,89,24,1
229,89,25,1
230,89,26,1
231,93,22,1
232,93,23,1
233,93,25,1
234,93,26,1
235,97,22,1
236,97,23,1
237,97,24,1
238,97,25,1
239,97,26,1
240,71,27,1
241,73,27,1
242,75,27,1
243,77,27,1
244,79,27,1
245,81,27,1
246,83,27,1
247,85,27,1
248,87,27,1
249,89,27,1
250,91,27,1
251,93,27,1
252,95,27,1
253,97,27,1
254,99,27,1
255,101,27,1
256,103,27,1
257,105,27,1
258,71,28,1
259,75,28,1
260,85,28,1
261,97,28,1
262,71,29,1
263,73,29,1
264,75,29,1
265,77,29,1
266,79,29,1
267,81,29,1
268,83,29,1
269,85,29,1
270,87,29,1
271,89,29,1
272,91,29,1
273,93,29,1
274,95,29,1
275,97,29,1
276,99,29,1
277,101,29,1
278,103,29,1
279,103,30,1
280,105,30,1
281,107,30,1
282,109,30,1
283,111,30,1
284,113,30,1
285,115,30,1
286,117,30,1
287,119,30,1
288,105,28,1
289,107,28,1
290,109,28,1
291,111,28,1
292,113,28,1
293,115,28,1
294,117,28,1
295,119,28,1
296,121,28,1
297,123,28,1
298,125,28,1
299,127,28,1
300,121,29,1
301,121,30,1
302,121,31,1
303,121,32,1
304,123,32,1
305,125,32,1
306,127,32,1
307,129,32,1
308,131,32,1
309,133,32,1
310,135,32,1
311,137,32,1
312,139,32,1
313,141,32,1
314,143,32,1
315,145,32,1
316,147,32,1
317,149,32,1
318,151,32,1
319,153,32,1
320,155,32,1
321,157,32,1
322,129,31,1
323,129,30,1
324,129,29,1
325,131,29,1
326,133,29,1
327,135,29,1
328,137,29,1
329,139,29,1
330,141,29,1
331,143,29,1
332,145,29,1
333,147,29,1
334,149,29,1
335,151,29,1
336,153,29,1
337,155,29,1
338,157,29,1
339,133,30,1
340,133,31,1
341,145,30,1
342,145,31,1
343,149,30,1
344,149,31,1
345,153,30,1
346,153,31,1
347,157,30,1
348,157,31,1
349,129,33,1
350,129,34,1
351,129,35,1
352,129,36,4
353,133,33,1
354,133,34,3
355,145,33,1
356,145,34,4
357,149,33,1
358,149,34,1
359,149,35,1
360,149,36,3
361,153,33,1
362,153,34,3
363,157,33,1
364,157,34,3
365,1,4,2
366,1,5,2
367,1,6,2
368,2,4,2
369,2,5,2
370,2,6,2
371,3,4,2
372,3,5,2
373,3,6,2
374,4,4,2
375,4,5,2
376,4,6,2
377,5,4,2
378,5,5,2
379,5,6,2
380,6,4,2
381,6,5,2
382,6,6,2
383,1,12,2
384,1,11,2
385,1,10,2
386,1,9,2
387,1,8,2
388,2,12,2
389,2,11,2
390,2,10,2
391,2,9,2
392,2,8,2
393,3,12,2
394,3,11,2
395,3,10,2
396,3,9,2
397,3,8,2
398,4,12,2
399,4,11,2
400,4,10,2
401,4,9,2
402,4,8,2
403,5,12,2
404,5,11,2
405,5,10,2
406,5,9,2
407,5,8,2
408,6,12,2
409,6,11,2
410,6,10,2
411,6,9,2
412,6,8,2
413,10,4,2
414,10,5,2
415,10,6,2
416,10,7,2
417,10,8,2
418,11,4,2
419,11,5,2
420,11,6,2
421,11,7,2
422,11,8,2
423,12,4,2
424,12,5,2
425,12,6,2
426,12,7,2
427,12,8,2
428,10,12,2
429,10,11,2
430,10,10,2
431,11,12,2
432,11,11,2
433,11,10,2
434,12,12,2
435,12,11,2
436,12,10,2
437,15,4,2
438,15,5,2
439,15,6,2
440,15,7,2
441,15,8,2
442,16,4,2
443,16,5,2
444,16,6,2
445,16,7,2
446,16,8,2
447,17,4,2
448,17,5,2
449,17,6,2
450,17,7,2
451,17,8,2
452,18,4,2
453,18,5,2
454,18,6,2
455,18,7,2
456,18,8,2
457,19,4,2
458,19,5,2
459,19,6,2
460,19,7,2
461,19,8,2
462,20,4,2
463,20,5,2
464,20,6,2
465,20,7,2
466,20,8,2
467,21,4,2
468,21,5,2
469,21,6,2
470,21,7,2
471,21,8,2
472,22,4,2
473,22,5,2
474,22,6,2
475,22,7,2
476,22,8,2
477,23,4,2
478,23,5,2
479,23,6,2
480,23,7,2
481,23,8,2
482,24,4,2
483,24,5,2
484,24,6,2
485,24,7,2
486,24,8,2
487,25,4,2
488,25,5,2
489,25,6,2
490,25,7,2
491,25,8,2
492,26,4,2
493,26,5,2
494,26,6,2
495,26,7,2
496,26,8,2
497,27,4,2
498,27,5,2
499,27,6,2
500,27,7,2
501,27,8,2
502,28,4,2
503,28,5,2
504,28,6,2
505,28,7,2
506,28,8,2
507,29,4,2
508,29,5,2
509,29,6,2
510,29,7,2
511,29,8,2
512,30,4,2
513,30,5,2
514,30,6,2
515,30,7,2
516,30,8,2
517,15,12,2
518,15,11,2
519,15,10,2
520,16,12,2
521,16,11,2
522,16,10,2
523,17,12,2
524,17,11,2
525,17,10,2
526,18,12,2
527,18,11,2
528,18,10,2
529,19,12,2
530,19,11,2
531,19,10,2
532,20,12,2
533,20,11,2
534,20,10,2
535,21,12,2
536,21,11,2
537,21,10,2
538,22,12,2
539,22,11,2
540,22,10,2
541,23,12,2
542,23,11,2
543,23,10,2
544,24,12,2
545,24,11,2
546,24,10,2
547,25,12,2
548,25,11,2
549,25,10,2
550,26,12,2
551,26,11,2
552,26,10,2
553,27,12,2
554,27,11,2
555,27,10,2
556,28,12,2
557,28,11,2
558,28,10,2
559,29,12,2
560,29,11,2
561,29,10,2
562,30,12,2
563,30,11,2
564,30,10,2
565,71,30,2
566,71,31,2
567,71,32,2
568,71,33,2
569,71,34,2
570,71,35,2
571,71,36,2
572,71,37,2
573,71,38,2
574,71,39,2
575,71,40,2
576,72,30,2
577,72,31,2
578,72,32,2
579,72,33,2
580,72,34,2
581,72,35,2
582,72,36,2
583,72,37,2
584,72,38,2
585,72,39,2
586,72,40,2
587,73,30,2
588,73,31,2
589,73,32,2
590,73,33,2
591,73,34,2
592,73,35,2
593,73,36,2
594,73,37,2
595,73,38,2
596,73,39,2
597,73,40,2
598,75,30,2
599,75,31,2
600,75,32,2
601,75,33,2
602,75,34,2
603,75,35,2
604,75,36,2
605,75,37,2
606,75,38,2
607,75,39,2
608,75,40,2
609,76,30,2
610,76,31,2
611,76,32,2
612,76,33,2
613,76,34,2
614,76,35,2
615,76,36,2
616,76,37,2
617,76,38,2
618,76,39,2
619,76,40,2
620,77,30,2
621,77,31,2
622,77,32,2
623,77,33,2
624,77,34,2
625,77,35,2
626,77,36,2
627,77,37,2
628,77,38,2
629,77,39,2
630,77,40,2
631,78,30,2
632,78,31,2
633,78,32,2
634,78,33,2
635,78,34,2
636,78,35,2
637,78,36,2
638,78,37,2
639,78,38,2
640,78,39,2
641,78,40,2
642,79,30,2
643,79,31,2
644,79,32,2
645,79,33,2
646,79,34,2
647,79,35,2
648,79,36,2
649,79,37,2
650,79,38,2
651,79,39,2
652,79,40,2
653,80,30,2
654,80,31,2
655,80,32,2
656,80,33,2
657,80,34,2
658,80,35,2
659,80,36,2
660,80,37,2
661,80,38,2
662,80,39,2
663,80,40,2
664,82,30,2
665,82,31,2
666,82,32,2
667,82,33,2
668,82,34,2
669,82,35,2
670,82,36,2
671,82,37,2
672,82,38,2
673,82,39,2
674,82,40,2
675,83,30,2
676,83,31,2
677,83,32,2
678,83,33,2
679,83,34,2
680,83,35,2
681,83,36,2
682,83,37,2
683,83,38,2
684,83,39,2
685,83,40,2
686,84,30,2
687,84,31,2
688,84,32,2
689,84,33,2
690,84,34,2
691,84,35,2
692,84,36,2
693,84,37,2
694,84,38,2
695,84,39,2
696,84,40,2
697,87,30,2
698,87,31,2
699,87,32,2
700,87,33,2
701,87,34,2
702,87,35,2
703,87,36,2
704,87,37,2
705,87,38,2
706,87,39,2
707,87,40,2
708,88,30,2
709,88,31,2
710,88,32,2
711,88,33,2
712,88,34,2
713,88,35,2
714,88,36,2
715,88,37,2
716,88,38,2
717,88,39,2
718,88,40,2
719,89,30,2
720,89,31,2
721,89,32,2
722,89,33,2
723,89,34,2
724,89,35,2
725,89,36,2
726,89,37,2
727,89,38,2
728,89,39,2
729,89,40,2
730,91,30,2
731,91,31,2
732,91,32,2
733,91,33,2
734,91,34,2
735,91,35,2
736,91,36,2
737,91,37,2
738,91,38,2
739,91,39,2
740,91,40,2
741,92,30,2
742,92,31,2
743,92,32,2
744,92,33,2
745,92,34,2
746,92,35,2
747,92,36,2
748,92,37,2
749,92,38,2
750,92,39,2
751,92,40,2
752,93,30,2
753,93,31,2
754,93,32,2
755,93,33,2
756,93,34,2
757,93,35,2
758,93,36,2
759,93,37,2
760,93,38,2
761,93,39,2
762,93,40,2
763,94,30,2
764,94,31,2
765,94,32,2
766,94,33,2
767,94,34,2
768,94,35,2
769,94,36,2
770,94,37,2
771,94,38,2
772,94,39,2
773,94,40,2
774,95,30,2
775,95,31,2
776,95,32,2
777,95,33,2
778,95,34,2
779,95,35,2
780,95,36,2
781,95,37,2
782,95,38,2
783,95,39,2
784,95,40,2
785,96,30,2
786,96,31,2
787,96,32,2
788,96,33,2
789,96,34,2
790,96,35,2
791,96,36,2
792,96,37,2
793,96,38,2
794,96,39,2
795,96,40,2
796,98,30,2
797,98,31,2
798,98,32,2
799,98,33,2
800,98,34,2
801,98,35,2
802,98,36,2
803,98,37,2
804,98,38,2
805,98,39,2
806,98,40,2
807,99,30,2
808,99,31,2
809,99,32,2
810,99,33,2
811,99,34,2
812,99,35,2
813,99,36,2
814,99,37,2
815,99,38,2
816,99,39,2
817,99,40,2
818,100,30,2
819,100,31,2
820,100,32,2
821,100,33,2
822,100,34,2
823,100,35,2
824,100,36,2
825,100,37,2
826,100,38,2
827,100,39,2
828,100,40,2
829,129,28,1
1,2,1,1
2,4,1,1
3,6,1,1
4,8,1,1
5,10,1,1
6,12,1,1
7,14,1,1
8,16,1,1
9,18,1,1
10,20,1,1
11,22,1,1
12,24,1,1
13,26,1,1
14,28,1,1
15,30,1,1
16,32,1,1
17,34,1,1
18,36,1,1
19,38,1,1
20,12,2,1
21,38,2,1
22,2,3,1
23,4,3,1
24,6,3,1
25,8,3,1
26,10,3,1
27,12,3,1
28,14,3,1
29,16,3,1
30,18,3,1
31,20,3,1
32,22,3,1
33,24,3,1
34,26,3,1
35,28,3,1
36,30,3,1
37,32,3,1
38,34,3,1
39,36,3,1
40,38,3,1
41,38,4,1
42,38,5,1
43,38,6,1
44,38,7,1
45,38,8,1
46,34,4,1
47,34,5,1
48,34,6,1
49,34,7,1
50,34,8,1
51,34,9,1
52,36,9,1
53,38,9,1
54,40,9,1
55,42,9,1
56,44,9,1
57,46,9,3
58,34,10,1
59,38,10,1
60,34,11,1
61,36,11,1
62,38,11,1
63,40,11,1
64,42,11,1
65,44,11,1
66,46,11,3
67,34,12,1
68,38,12,1
69,2,13,1
70,4,13,1
71,6,13,1
72,8,13,1
73,10,13,1
74,12,13,1
75,14,13,1
76,16,13,1
77,18,13,1
78,20,13,1
79,22,13,1
80,24,13,1
81,26,13,1
82,28,13,1
83,30,13,1
84,32,13,1
85,34,13,1
86,38,13,1
87,2,14,1
88,16,14,1
89,22,14,1
90,34,14,1
91,38,14,1
92,2,15,1
93,4,15,1
94,6,15,1
95,8,15,1
96,10,15,1
97,12,15,1
98,14,15,1
99,16,15,1
100,18,15,1
101,20,15,1
102,22,15,1
103,24,15,1
104,26,15,1
105,28,15,1
106,30,15,1
107,32,15,1
108,34,15,1
109,36,15,1
110,38,15,1
111,40,15,1
112,42,15,1
113,34,16,1
114,34,17,1
115,34,18,1
116,34,19,1
117,34,20,1
118,34,21,1
119,34,22,1
120,34,23,1
121,34,24,1
122,16,22,1
123,16,23,1
124,16,24,1
125,16,25,1
126,18,25,1
127,20,25,1
128,20,24,1
129,20,23,1
130,20,22,1
131,22,25,1
132,24,25,1
133,24,24,1
134,24,23,1
135,24,22,3
136,26,25,1
137,28,25,1
138,28,24,1
139,28,23,1
140,28,22,3
141,30,25,1
142,32,25,1
143,34,25,1
144,36,25,1
145,38,25,1
146,40,25,1
147,40,24,1
148,40,23,1
149,36,22,1
150,38,22,1
151,40,22,1
152,42,22,1
153,44,22,1
154,46,22,1
155,48,22,1
156,50,22,1
157,52,22,1
158,54,22,1
159,56,22,1
160,58,22,1
161,60,22,1
162,62,22,1
163,64,22,1
164,66,22,1
165,56,23,1
166,56,24,1
167,56,25,1
168,60,23,1
169,60,24,1
170,40,21,1
171,52,21,1
172,56,21,1
173,60,21,1
174,36,20,1
175,38,20,1
176,40,20,1
177,42,20,1
178,44,20,1
179,46,20,1
180,48,20,1
181,50,20,1
182,52,20,1
183,54,20,1
184,56,20,1
185,58,20,1
186,60,20,1
187,62,20,1
188,64,20,1
189,66,20,1
190,52,19,1
191,52,18,1
192,56,19,1
193,56,18,1
194,56,17,1
195,66,21,1
196,68,21,1
197,70,21,1
198,72,21,1
199,74,21,1
200,76,21,1
201,78,21,1
202,80,21,1
203,82,21,1
204,84,21,1
205,86,21,1
206,88,21,1
207,90,21,1
208,92,21,1
209,94,21,1
210,96,21,1
211,98,21,1
212,72,22,1
213,72,23,1
214,72,24,1
215,72,25,1
216,72,26,1
217,76,22,1
218,76,23,1
219,76,24,1
220,76,25,1
221,76,26,1
222,80,24,1
223,80,25,1
224,80,26,1
225,82,24,1
226,82,25,1
227,82,26,1
228,90,24,1
229,90,25,1
230,90,26,1
231,94,22,1
232,94,23,1
233,94,25,1
234,94,26,1
235,98,22,1
236,98,23,1
237,98,24,1
238,98,25,1
239,98,26,1
240,72,27,1
241,74,27,1
242,76,27,1
243,78,27,1
244,80,27,1
245,82,27,1
246,84,27,1
247,86,27,1
248,88,27,1
249,90,27,1
250,92,27,1
251,94,27,1
252,96,27,1
253,98,27,1
254,100,27,1
255,102,27,1
256,104,27,1
257,106,27,1
258,72,28,1
259,76,28,1
260,86,28,1
261,98,28,1
262,72,29,1
263,74,29,1
264,76,29,1
265,78,29,1
266,80,29,1
267,82,29,1
268,84,29,1
269,86,29,1
270,88,29,1
271,90,29,1
272,92,29,1
273,94,29,1
274,96,29,1
275,98,29,1
276,100,29,1
277,102,29,1
278,104,29,1
279,104,30,1
280,106,30,1
281,108,30,1
282,110,30,1
283,112,30,1
284,114,30,1
285,116,30,1
286,118,30,1
287,120,30,1
288,106,28,1
289,108,28,1
290,110,28,1
291,112,28,1
292,114,28,1
293,116,28,1
294,118,28,1
295,120,28,1
296,122,28,1
297,124,28,1
298,126,28,1
299,128,28,1
300,122,29,1
301,122,30,1
302,122,31,1
303,122,32,1
304,124,32,1
305,126,32,1
306,128,32,1
307,130,32,1
308,132,32,1
309,134,32,1
310,136,32,1
311,138,32,1
312,140,32,1
313,142,32,1
314,144,32,1
315,146,32,1
316,148,32,1
317,150,32,1
318,152,32,1
319,154,32,1
320,156,32,1
321,158,32,1
322,130,31,1
323,130,30,1
324,130,29,1
325,132,29,1
326,134,29,1
327,136,29,1
328,138,29,1
329,140,29,1
330,142,29,1
331,144,29,1
332,146,29,1
333,148,29,1
334,150,29,1
335,152,29,1
336,154,29,1
337,156,29,1
338,158,29,1
339,134,30,1
340,134,31,1
341,146,30,1
342,146,31,1
343,150,30,1
344,150,31,1
345,154,30,1
346,154,31,1
347,158,30,1
348,158,31,1
349,130,33,1
350,130,34,1
351,130,35,1
352,130,36,4
353,134,33,1
354,134,34,3
355,146,33,1
356,146,34,4
357,150,33,1
358,150,34,1
359,150,35,1
360,150,36,3
361,154,33,1
362,154,34,3
363,158,33,1
364,158,34,3
829,130,28,1
